City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,punta arenas,-53.15,-70.9167,12.06,58,0,7.2,CL,1697680067
83,bredasdorp,-34.5322,20.0403,15.12,93,4,5.61,ZA,1697680277
84,urumqi,43.801,87.6005,6.53,53,0,1.0,CN,1697680233
85,berezovo,63.9381,65.0419,2.2,77,58,7.15,RU,1697680277
86,taulaga,-11.0553,-171.0883,27.68,79,25,6.08,AS,1697680277
87,san patricio,28.017,-97.5169,24.91,65,0,4.03,US,1697680277
88,tonj,7.2737,28.6822,22.43,89,32,1.25,SS,1697680277
89,gandajika,-6.75,23.95,20.85,91,100,1.13,CD,1697680277
90,constantia,44.1833,28.65,7.61,80,39,4.39,RO,1697680277
91,polovinnoye,54.7914,65.9864,2.66,71,0,5.58,RU,1697680278
92,bilibino,68.0546,166.4372,-17.8,96,76,1.02,RU,1697680278
93,severo-yeniseyskiy,60.3725,93.0408,4.21,98,100,2.24,RU,1697680278
94,lagoa,39.05,-27.9833,19.31,74,7,11.41,PT,1697680278
95,brisas de zicatela,15.8369,-97.0419,29.29,58,40,1.54,MX,1697680278
96,isafjordur,66.0755,-23.124,7.06,77,100,4.17,IS,1697680278
97,eydhafushi,5.1033,73.0708,27.15,77,64,5.65,MV,1697680278
98,fort st. john,56.2499,-120.8529,12.94,54,20,6.17,CA,1697680278
99,leava,-14.3,-178.1667,26.51,79,100,9.68,WF,1697680278
100,altpinar,39.2042,32.7478,8.11,92,6,1.9,TR,1697680279
101,kapchorwa,1.3965,34.4509,14.35,85,100,1.48,UG,1697680279
102,sabang,5.8933,95.3214,27.39,75,100,0.61,ID,1697680279
103,chissamba,-12.1667,17.3333,18.63,78,74,0.12,AO,1697680279
104,susuman,62.7833,148.1667,-13.34,76,100,0.45,RU,1697680279
105,sandakan,5.8402,118.1179,29.82,79,40,1.54,MY,1697680279
106,ushuaia,-54.8,-68.3,11.81,92,0,4.47,AR,1697680008
107,parang,7.3704,124.2697,30.53,66,51,1.07,PH,1697680279
108,south williamsport,41.232,-76.9991,10.12,88,75,0.0,US,1697680279
109,luderitz,-26.6481,15.1594,14.63,90,28,2.66,NA,1697680279
110,saint-philippe,-21.3585,55.7679,24.77,88,58,2.45,RE,1697680279
111,thompson,55.7435,-97.8558,3.09,81,20,1.03,CA,1697680280
112,grande prairie,55.1667,-118.8027,13.1,54,20,5.14,CA,1697680220
113,zeya,53.75,127.2667,1.94,70,100,6.1,RU,1697680280
114,dudinka,69.4058,86.1778,4.79,99,100,7.6,RU,1697680280
115,namibe,-15.1961,12.1522,16.59,89,42,3.08,AO,1697680280
116,samana,19.2056,-69.3369,26.49,88,54,3.12,DO,1697680280
117,sorong,-0.8833,131.25,27.62,80,2,2.73,ID,1697680280
118,owando,-0.4819,15.8999,22.56,91,100,1.42,CG,1697680280
119,belyy yar,53.6039,91.3903,1.94,100,100,0.0,RU,1697680280
120,saipan,15.1355,145.701,31.39,70,40,6.69,MP,1697680281
121,lyantor,61.6195,72.1555,4.14,78,53,6.63,RU,1697680281
122,nathdwara,24.9333,73.8167,19.55,51,0,1.49,IN,1697680281
123,naze,28.3667,129.4833,23.51,51,0,1.27,JP,1697680281
124,laojunmiao,39.8333,97.7333,7.07,26,0,1.46,CN,1697680281
125,saint-joseph,-21.3667,55.6167,24.21,87,61,1.2,RE,1697680281
126,gadzhiyevo,69.2551,33.3362,1.52,62,100,8.65,RU,1697680281
127,hobyo,5.3505,48.5268,27.38,77,80,3.6,SO,1697680281
128,talnakh,69.4865,88.3972,4.56,99,100,5.54,RU,1697680281
129,prince rupert,54.3161,-130.3201,13.05,84,100,14.4,CA,1697679987
130,acarau,-2.8856,-40.12,25.47,81,0,3.82,BR,1697680282
131,guaxupe,-21.3053,-46.7128,21.39,76,9,1.31,BR,1697680206
